time,timestamp,longitude,latitude,z,sea_surface_height_above_sea_level
2022-02-25T16:44:24Z,1645825464389.00,,,0,383
2022-02-25T16:24:23Z,1645824263681.00,,,0,383
2022-02-25T16:04:24Z,1645823064363.00,,,0,384
2022-02-25T15:44:24Z,1645821864352.00,,,0,384
2022-02-25T15:24:24Z,1645820664364.00,,,0,384
2022-02-25T15:04:24Z,1645819464352.00,,,0,384
2022-02-25T14:44:23Z,1645818263625.00,,,0,384
2022-02-25T14:24:24Z,1645817064337.00,,,0,384
2022-02-25T14:04:24Z,1645815864362.00,,,0,384
2022-02-25T13:44:24Z,1645814664344.00,,,0,385
2022-02-25T13:24:23Z,1645813463594.00,,,0,385
2022-02-25T13:04:23Z,1645812263845.00,,,0,384
2022-02-25T12:44:23Z,1645811063836.00,,,0,390
2022-02-25T12:24:24Z,1645809864291.00,,,0,391
2022-02-25T12:04:24Z,1645808664299.00,,,0,391
2022-02-25T11:44:24Z,1645807464285.00,,,0,388
2022-02-25T11:24:23Z,1645806263843.00,,,0,393
2022-02-25T11:04:23Z,1645805063806.00,,,0,397
2022-02-25T10:44:23Z,1645803863786.00,,,0,398
2022-02-25T10:24:24Z,1645802664248.00,,,0,429
2022-02-25T10:04:23Z,1645801463770.00,,,0,403
2022-02-25T09:44:24Z,1645800264220.00,,,0,408
2022-02-25T09:24:24Z,1645799064209.00,,,0,434
2022-02-25T09:04:24Z,1645797864203.00,,,0,419
2022-02-25T08:44:24Z,1645796664194.00,,,0,420
2022-02-25T08:24:24Z,1645795464168.00,,,0,419
2022-02-25T08:04:24Z,1645794264155.00,,,0,414
2022-02-25T07:44:24Z,1645793064142.00,,,0,418
2022-02-25T07:24:24Z,1645791864128.00,,,0,418
2022-02-25T07:04:24Z,1645790664125.00,,,0,409
2022-02-25T06:44:24Z,1645789464099.00,,,0,408
2022-02-25T06:24:23Z,1645788263388.00,,,0,412
2022-02-25T06:04:24Z,1645787064080.00,,,0,408
2022-02-25T05:44:24Z,1645785864072.00,,,0,405
2022-02-25T05:24:24Z,1645784664054.00,,,0,404
2022-02-25T05:04:24Z,1645783464045.00,,,0,401
2022-02-25T04:44:24Z,1645782264030.00,,,0,401
2022-02-25T04:24:24Z,1645781064037.00,,,0,400
2022-02-25T04:04:23Z,1645779863297.00,,,0,401
2022-02-25T03:44:23Z,1645778663995.00,,,0,401
2022-02-25T03:24:23Z,1645777463970.00,,,0,400
2022-02-25T03:04:23Z,1645776263962.00,,,0,401
2022-02-25T02:44:23Z,1645775063966.00,,,0,401
2022-02-25T02:24:23Z,1645773863936.00,,,0,401
2022-02-25T02:04:23Z,1645772663906.00,,,0,401
2022-02-25T01:44:23Z,1645771463929.00,,,0,401
2022-02-25T01:24:23Z,1645770263901.00,,,0,401
2022-02-25T01:04:23Z,1645769063888.00,,,0,402
2022-02-25T00:44:23Z,1645767863855.00,,,0,402
2022-02-25T00:24:23Z,1645766663832.00,,,0,403
2022-02-25T00:04:23Z,1645765463858.00,,,0,421
2022-02-24T23:44:23Z,1645764263809.00,,,0,418
2022-02-24T23:24:23Z,1645763063848.00,,,0,411
2022-02-24T23:04:23Z,1645761863818.00,,,0,410
2022-02-24T22:44:23Z,1645760663306.00,,,0,416
2022-02-24T22:24:23Z,1645759463763.00,,,0,408
2022-02-24T22:04:23Z,1645758263748.00,,,0,412
2022-02-24T21:44:23Z,1645757063743.00,,,0,410
2022-02-24T21:24:23Z,1645755863740.00,,,0,414
2022-02-24T21:04:23Z,1645754663734.00,,,0,417
2022-02-24T20:44:23Z,1645753463250.00,,,0,417
2022-02-24T20:24:23Z,1645752263710.00,,,0,417
